,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,49.48,76,35,2.93,NZ,1622509855
1,jamestown,42.097,-79.2353,58.32,54,1,5.75,US,1622509828
2,mehamn,71.0357,27.8492,41.18,96,100,4.03,NO,1622509855
3,busselton,-33.65,115.3333,52.09,84,50,6.08,AU,1622509856
4,pangnirtung,66.1451,-65.7125,28.49,92,73,4.05,CA,1622509856
5,shitkino,56.3703,98.3543,53.17,49,13,2.19,RU,1622509857
6,vuktyl,63.8567,57.3094,41.68,67,45,9.8,RU,1622509857
7,coldwater,41.9403,-85.0005,65.7,52,90,4.61,US,1622509785
8,carnarvon,-24.8667,113.6333,60.87,77,0,9.22,AU,1622509858
9,pevek,69.7008,170.3133,39.11,73,6,6.71,RU,1622509858
10,berekum,7.4534,-2.584,71.55,99,100,3.71,GH,1622509858
11,mayor pablo lagerenza,-19.9309,-60.7718,66.52,68,100,3.0,PY,1622509859
12,tevaitoa,-16.7833,-151.5,78.12,67,12,14.09,PF,1622509859
13,ushuaia,-54.8,-68.3,29.86,100,75,8.05,AR,1622509859
14,solnechnyy,50.7214,136.6319,66.13,43,19,4.92,RU,1622509860
15,yulara,-25.2406,130.9889,68.13,40,67,7.38,AU,1622509860
16,chifeng,42.2683,118.9636,63.05,26,0,11.72,CN,1622509860
17,souillac,-20.5167,57.5167,70.36,81,14,7.07,MU,1622509861
18,saskylakh,71.9167,114.0833,35.62,97,100,13.15,RU,1622509861
19,fergus falls,46.283,-96.0776,71.06,35,1,5.75,US,1622509675
20,haverfordwest,51.8017,-4.9691,60.35,89,100,7.27,GB,1622509862
21,fortuna,40.5982,-124.1573,92.19,67,99,1.99,US,1622509862
22,arraial do cabo,-22.9661,-42.0278,71.17,92,100,5.61,BR,1622509862
23,rikitea,-23.1203,-134.9692,73.4,68,86,17.87,PF,1622509577
24,tongchuan,35.0806,109.0897,73.45,39,100,1.43,CN,1622509863
25,clyde river,70.4692,-68.5914,24.33,96,22,1.63,CA,1622509863
26,east london,-33.0153,27.9116,57.97,83,99,15.48,ZA,1622509863
27,odweyne,9.4092,45.064,73.13,63,9,14.05,SO,1622509864
28,townsville,-19.25,146.8,77.88,53,20,13.8,AU,1622509864
29,jaciara,-15.9653,-54.9683,71.65,58,99,2.44,BR,1622509864
30,vanimo,-2.6741,141.3028,78.06,94,100,8.52,PG,1622509865
31,puri,19.8,85.85,87.39,88,62,12.17,IN,1622509865
32,dingle,10.9995,122.6711,84.16,74,100,0.36,PH,1622509866
33,gat,31.61,34.7642,72.39,100,0,0.63,IL,1622509866
34,avarua,-21.2078,-159.775,78.85,57,20,9.22,CK,1622509866
35,sayhat,26.4852,50.0405,95.2,42,0,12.75,SA,1622509867
36,mar del plata,-38.0023,-57.5575,54.09,51,0,5.01,AR,1622509865
37,punta arenas,-53.15,-70.9167,33.91,69,20,2.21,CL,1622509690
38,hargeysa,9.56,44.065,68.99,75,11,23.06,SO,1622509867
39,tuktoyaktuk,69.4541,-133.0374,33.08,80,98,10.04,CA,1622509868
40,marawi,7.9986,124.2928,66.65,95,100,4.14,PH,1622509868
41,vaini,-21.2,-175.2,69.96,100,90,0.0,TO,1622509868
42,hamilton,39.1834,-84.5333,67.39,64,1,1.99,US,1622509869
43,bathsheba,13.2167,-59.5167,81.21,61,20,16.31,BB,1622509869
44,vardo,70.3705,31.1107,39.78,85,100,6.67,NO,1622509869
45,khatanga,71.9667,102.5,34.68,78,100,9.42,RU,1622509870
46,chicama,-7.8447,-79.1469,63.14,82,100,6.42,PE,1622509870
47,bonavista,48.6499,-53.1147,45.36,77,100,15.59,CA,1622509870
48,port elizabeth,-33.918,25.5701,53.1,79,40,12.15,ZA,1622509871
49,baruun-urt,46.6806,113.2792,45.68,36,9,11.81,MN,1622509871
50,kortkeros,61.8106,51.5806,35.6,61,7,4.88,RU,1622509871
51,port lincoln,-34.7333,135.8667,63.7,48,100,9.86,AU,1622509872
52,hobart,-42.8794,147.3294,56.23,67,75,4.0,AU,1622509872
53,catamarca,-28.4696,-65.7852,60.78,69,0,1.01,AR,1622509844
54,lawrenceburg,38.0373,-84.8966,69.96,74,1,1.34,US,1622509873
55,hithadhoo,-0.6,73.0833,84.0,69,97,15.7,MV,1622509873
56,nishihara,26.1842,127.7558,79.88,73,75,16.75,JP,1622509873
57,kodiak,57.79,-152.4072,47.71,87,90,12.66,US,1622509874
58,progreso,21.2833,-89.6667,83.1,82,99,18.1,MX,1622509874
59,rodeo,38.033,-122.2669,104.32,56,1,5.01,US,1622509874
60,oistins,13.0667,-59.5333,80.69,61,20,19.57,BB,1622509875
61,bluff,-46.6,168.3333,49.8,74,78,14.14,NZ,1622509875
62,esperance,-33.8667,121.9,58.96,72,99,18.25,AU,1622509875
63,upernavik,72.7868,-56.1549,30.79,88,100,3.06,GL,1622509876
64,sal rei,16.1833,-22.9167,72.16,89,78,12.84,CV,1622509876
65,new norfolk,-42.7826,147.0587,55.89,56,100,5.12,AU,1622509877
66,surt,31.2089,16.5887,70.99,63,38,6.46,LY,1622509877
67,cherskiy,68.75,161.3,65.43,21,77,10.13,RU,1622509877
68,yellowknife,62.456,-114.3525,62.33,48,86,5.01,CA,1622509871
69,lincoln,40.8,-96.667,73.47,49,1,8.05,US,1622509878
70,barrow,71.2906,-156.7887,33.82,75,90,16.11,US,1622509878
71,houston,29.7633,-95.3633,81.34,78,75,5.01,US,1622509871
72,hilo,19.7297,-155.09,85.28,81,40,13.8,US,1622509790
73,norman wells,65.282,-126.8329,61.65,54,91,2.42,CA,1622509879
74,tarko-sale,64.9225,77.785,37.99,71,100,2.64,RU,1622509879
75,butaritari,3.0707,172.7902,83.59,77,62,17.85,KI,1622509879
76,camana,-16.6228,-72.7111,66.52,80,100,8.01,PE,1622509880
77,sao joao dos patos,-6.495,-43.7022,74.19,61,42,1.57,BR,1622509880
78,shimoda,34.6667,138.95,68.92,70,4,12.5,JP,1622509881
79,isangel,-19.55,169.2667,74.25,63,87,14.09,VU,1622509881
80,dawlatabad,36.4141,64.9053,82.78,17,0,3.02,AF,1622509881
81,nikolskoye,59.7035,30.7861,48.09,94,78,4.07,RU,1622509882
82,san luis,-33.295,-66.3356,55.26,38,4,7.4,AR,1622509882
83,longyearbyen,78.2186,15.6401,35.44,80,75,5.75,SJ,1622509882
84,karratha,-20.7377,116.8463,70.2,41,97,18.45,AU,1622509883
85,thompson,55.7435,-97.8558,50.41,84,100,4.68,CA,1622509883
86,holme,56.1138,10.1725,48.74,84,100,6.82,DK,1622509883
87,kapaa,22.0752,-159.319,84.18,73,90,1.01,US,1622509840
